dataset,method,runs,f1_mean,acc_mean,auc_mean,time_mean
hdfs_df-100K,v1+svm,1,0.9250487293034795,0.9602172855199261,0.9825071497638993,84.85129642486572
hdfs_df-100K,v1+m,1,0.9192296777280397,0.9566521346216869,0.9641243000563042,78.67775344848633
hdfs_df-100K,v1+c,1,0.9175585428105714,0.9556094024648202,0.964122283548308,78.75874352455139
hdfs_df-100K,v1+rf,1,0.8844163937431797,0.9344469050716506,0.993192571625527,562.6995050907135
hdfs_df-100K,v2+rf,1,0.861198699864363,0.9211992412882211,0.973428439090235,86.29889178276062
hdfs_df-100K,v2+svm,1,0.8514167378415807,0.9125693913423438,0.9686432008859382,11.454705476760864
hdfs_df-100K,v2+lr,1,0.8469429991139278,0.9102356574674518,0.9631673398208209,12.643835544586182
hdfs_df-100K,v4+svm,1,0.5391286107794273,0.6268905727082237,0.7050991602201944,2006.9135546684265
hdfs_df-100K,v4+lr,1,0.5352077168015701,0.6247951776120441,0.695421510802489,1902.4846880435944
hdfs_df-100K,v5+rf,1,0.5233864854550528,0.8641568269163927,0.776978370268149,89.94091272354126
hdfs_df-100K,v5+svm,1,0.51994223753094,0.5930266045661737,0.6883779634007401,71.38367366790771
hdfs_df-100K,v5+lr,1,0.5187656323770754,0.5949631071432118,0.6775795329842682,58.72319841384888
hdfs_df-100K,v3+c,1,0.49419374790456777,0.6249739316960783,0.5604837959643002,11.670461177825928
hdfs_df-100K,v2+c,1,0.48829149070163647,0.5790837860114999,0.6386201969288313,6.204787254333496
hdfs_df-100K,v2+m,1,0.4810806905868998,0.8634616721451484,0.6386201969288313,6.180505990982056
hdfs_df-100K,v3+rf,1,0.4707442622548907,0.8601646523729605,0.7979240849609085,37.89029359817505
hdfs_df-100K,v4+rf,1,0.46351146545090627,0.860780360884634,0.6719077729704986,1965.1144378185272
hdfs_df-100K,v3+m,1,0.4626856911124392,0.8611080767053636,0.5587964830016012,11.849122285842896
hdfs_df-100K,v4+m,1,0.4626856911124392,0.8611080767053636,0.5663172204672129,1862.160218000412
hdfs_df-100K,v5+m,1,0.4626856911124392,0.8611080767053636,0.5503798684652326,51.98792052268982
hdfs_df-100K,v3+svm,1,0.4524660767448825,0.8011360815118623,0.2993826390886741,17.43973445892334
hdfs_df-100K,v3+lr,1,0.45042279238752975,0.7959224207275292,0.29652120764551715,16.510484218597412
hdfs_df-100K,v4+c,1,0.44575680805431683,0.5132824215219918,0.5663172204672129,1868.4609770774841
hdfs_df-100K,v5+c,1,0.4042063078830422,0.43780847492973973,0.548966145874266,52.545082330703735
tb_df-100K,v1+lr,1,0.9527012617492518,0.992784920982445,0.9992074672722657,193.29653811454773
tb_df-100K,v1+rf,1,0.9517835816726905,0.9928545838143386,0.9990348441273972,233.18786430358887
tb_df-100K,v1+svm,1,0.945601306908048,0.9918295450021894,0.9966094197742017,92.49381399154663
tb_df-100K,v2+rf,1,0.9365541270517077,0.9903566736992954,0.9982288558754919,14.377262830734253
tb_df-100K,v2+svm,1,0.9294138371486744,0.988396162573146,0.9984640443690378,11.176839828491211
tb_df-100K,v4+svm,1,0.929203030404176,0.9883563552406354,0.9974004708295203,1978.5581481456757
tb_df-100K,v2+lr,1,0.9291189968193976,0.9883464034075077,0.99598364719974,7.657938003540039
tb_df-100K,v1+c,1,0.9276163659916492,0.9880677520799331,0.9937238170482525,78.41360878944397
tb_df-100K,v1+m,1,0.9274636105416221,0.9880478484136778,0.9937289752068957,78.35939908027649
tb_df-100K,v4+lr,1,0.9273022733303269,0.9880080410811671,0.9967395756951043,1888.70059299469
tb_df-100K,v2+m,1,0.9233088807532237,0.9872517017634649,0.9958765652110452,5.229055404663086
tb_df-100K,v5+svm,1,0.9228636687320494,0.9871720870984435,0.9953869860263944,53.77862596511841
tb_df-100K,v3+svm,1,0.9199191097379327,0.9865849289439115,0.9941164657773663,22.89394211769104
tb_df-100K,v5+lr,1,0.9173753152569463,0.986097289120656,0.9955110172397322,52.440396785736084
tb_df-100K,v3+lr,1,0.9159274275168385,0.9857987341268262,0.9938523154346863,15.482182264328003
tb_df-100K,v5+rf,1,0.9132616098480324,0.9871123760996776,0.9970012501216357,61.03215312957764
tb_df-100K,v4+rf,1,0.9114355463728907,0.9869630986027627,0.9967100585649993,1937.5219204425812
tb_df-100K,v2+c,1,0.8922415035631734,0.980822817562995,0.9958765652110452,5.270108699798584
tb_df-100K,v3+rf,1,0.8057967381067501,0.9771406393057601,0.9962985441302863,23.213135957717896
tb_df-100K,v5+m,1,0.7867380977245859,0.9765435293181004,0.9869520409835355,51.00538086891174
tb_df-100K,v4+m,1,0.6949781133655978,0.9268639783448112,0.9688276673293923,1880.2888572216034
tb_df-100K,v3+c,1,0.6543318534691664,0.8813641972851399,0.9696206376351484,14.684037685394287
tb_df-100K,v5+c,1,0.6295676691508133,0.8563353369690697,0.9886883062624306,52.282819509506226
tb_df-100K,v4+c,1,0.5510353257817784,0.7658433183392381,0.9688276673293923,1867.6641449928284
tb_df-100K,v3+m,1,0.5254001412048098,0.9575056725448827,0.9594691986393296,15.539233207702637
