report_path,dataset,vtype,classifier,run_id,method,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,predicted_anomalies,true_anomalies,tn,fp,fn,tp,time_total,time_vectorization,time_feature_extraction,time_training,time_inference,vec_params,cls_params
runs/100K/v3/svm/20260324-144239/report-config-2026-03-24-14_43_09.json,100K,v3,svm,20260324-144239,v3+svm,0.99935,0.9958510222385428,0.9992606468405576,0.9975489365739105,0.9999577103393631,7166,7113,92828,59,6,7107,28.571613311767578,3.7351620197296143,6.860575199127197,16.23433780670166,0.027973651885986328,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v4/c/20260324-151426/report-config-2026-03-24-15_45_22.json,100K,v4,c,20260324-151426,v4+c,0.90232,0.710295856034225,0.9450831894503344,0.7680987613701868,0.9821942441984389,16809,7113,83155,9732,36,7077,1849.2209210395813,615.0255308151245,1231.3265962600708,0.2130434513092041,0.15562844276428223,{},"{""type"": ""c"", ""c"": 1.0}"
runs/100K/v4/lr/20260324-164954/report-config-2026-03-24-17_20_38.json,100K,v4,lr,20260324-164954,v4+lr,0.99964,0.9975460353206658,0.9997413052114915,0.9986408182515758,0.9998848488002966,7147,7113,92852,35,1,7112,1837.4602880477905,612.5417008399963,1221.6138410568237,1.4605684280395508,0.15365886688232422,{},"{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v4/m/20260324-144323/report-config-2026-03-24-15_14_24.json,100K,v4,m,20260324-144323,v4+m,0.93987,0.7707917771883289,0.9635433255711578,0.8338062944635205,0.9821942441984389,13000,7113,86937,5950,63,7050,1852.6575467586517,610.5721831321716,1239.268426656723,0.2077498435974121,0.15629172325134277,{},"{""type"": ""m"", ""c"": 1.0}"
runs/100K/v4/rf/20260324-154524/report-config-2026-03-24-16_16_30.json,100K,v4,rf,20260324-154524,v4+rf,0.99995,0.9999730870257935,0.9996485308589906,0.9998107467932333,0.999999993945863,7108,7113,92887,0,5,7108,1859.6193096637726,613.7715198993683,1234.8435747623444,8.869881629943848,0.4187145233154297,{},"{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v4/svm/20260324-161631/report-config-2026-03-24-16_49_53.json,100K,v4,svm,20260324-161631,v4+svm,0.99998,0.9999243232872179,0.9999243232872179,0.9999243232872179,0.9998924089039034,7113,7113,92886,1,1,7112,1994.9744186401367,611.9243957996368,1240.980798482895,140.16637873649597,0.17354774475097656,{},"{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v5/c/20260324-172059/report-config-2026-03-24-17_21_19.json,100K,v5,c,20260324-172059,v5+c,0.90042,0.7071413658035434,0.9393219424957149,0.7639630416999956,0.9843365157192165,16853,7113,83038,9849,109,7004,18.756279706954956,9.35588550567627,7.4925806522369385,0.05066728591918945,0.03123188018798828,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""c"", ""c"": 1.0}"
runs/100K/v5/lr/20260324-172235/report-config-2026-03-24-17_22_55.json,100K,v5,lr,20260324-172235,v5+lr,0.99671,0.9782874473803167,0.9977746543677659,0.98780017194408,0.9999360804213158,7428,7113,92565,322,7,7106,18.38889789581299,9.309305906295776,6.787107467651367,0.5710327625274658,0.038683176040649414,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v5/m/20260324-172040/report-config-2026-03-24-17_20_59.json,100K,v5,m,20260324-172040,v5+m,0.96997,0.9615292481928108,0.8029933086756506,0.8632211172460699,0.9843431934323523,4544,7113,92670,217,2786,4327,18.06358551979065,9.26924443244934,6.840646982192993,0.05115151405334473,0.032778024673461914,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""m"", ""c"": 1.0}"
runs/100K/v5/rf/20260324-172119/report-config-2026-03-24-17_21_40.json,100K,v5,rf,20260324-172119,v5+rf,0.99998,0.9999892344626382,0.9998594123435962,0.999924313461334,0.9999999651887121,7111,7113,92887,0,2,7111,20.467204332351685,9.438978433609009,6.628384113311768,2.598325729370117,0.13559794425964355,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/100K/v5/svm/20260324-172141/report-config-2026-03-24-17_22_35.json,100K,v5,svm,20260324-172141,v5+svm,0.99908,0.9938024222957839,0.9993100417877576,0.996538186547747,0.9999981292716601,7199,7113,92798,89,3,7110,53.46031832695007,9.34857439994812,6.642127275466919,35.65991425514221,0.027493715286254883,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v1/c/20260324-172422/report-config-2026-03-24-17_25_50.json,hdfs_df-100K,v1,c,20260324-172422,v1+c,0.9556094024648202,0.8795266817966674,0.9718859906437031,0.9175585428105714,0.964122283548308,82397,86711,13908,78,4392,82319,78.75874352455139,61.37015724182129,4.709300518035889,6.313836574554443,5.693544387817383,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""c"", ""c"": 1.0}"
runs/hdfs_df-100K/v1/lr/20260324-173659/report-config-2026-03-24-17_41_13.json,hdfs_df-100K,v1,lr,20260324-173659,v1+lr,0.9602967317794969,0.8901981278981226,0.9727486825317551,0.925140830662003,0.9825952659272539,82993,86711,13846,140,3858,82853,246.62078976631165,60.757362604141235,4.5815980434417725,175.13123559951782,5.47889256477356,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v1/m/20260324-172255/report-config-2026-03-24-17_24_22.json,hdfs_df-100K,v1,m,20260324-172255,v1+m,0.9566521346216869,0.8818307513318312,0.9721016613481237,0.9192296777280397,0.9641243000563042,82528,86711,13895,91,4274,82437,78.67775344848633,61.37347626686096,4.550561904907227,6.398932695388794,5.680747747421265,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""m"", ""c"": 1.0}"
runs/hdfs_df-100K/v1/rf/20260324-172550/report-config-2026-03-24-17_35_24.json,hdfs_df-100K,v1,rf,20260324-172550,v1+rf,0.9344469050716506,0.8398400458469615,0.9600478019507901,0.8844163937431797,0.993192571625527,80236,86711,13923,63,6538,80173,562.6995050907135,60.94397735595703,4.602360486984253,487.70452332496643,8.75963044166565,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v1/svm/20260324-173525/report-config-2026-03-24-17_36_58.json,hdfs_df-100K,v1,svm,20260324-173525,v1+svm,0.9602172855199261,0.8899127446064911,0.9730323735842067,0.9250487293034795,0.9825071497638993,82963,86711,13857,129,3877,82834,84.85129642486572,61.72425055503845,4.616857290267944,12.534267663955688,5.305856943130493,"{""output_mode"": ""tf_idf"", ""output_sequence_length"": 200}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v2/c/20260324-174121/report-config-2026-03-24-17_41_28.json,hdfs_df-100K,v2,c,20260324-174121,v2+c,0.5790837860114999,0.5361902016181159,0.5745542651932845,0.48829149070163647,0.6386201969288313,56402,86711,7948,6038,36347,50364,6.204787254333496,2.13419246673584,3.3631603717803955,0.021831750869750977,0.012355327606201172,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""c"", ""c"": 1.0}"
runs/hdfs_df-100K/v2/lr/20260324-174308/report-config-2026-03-24-17_43_22.json,hdfs_df-100K,v2,lr,20260324-174308,v2+lr,0.9102356574674518,0.8029350940379705,0.9318672601993058,0.8469429991139278,0.9631673398208209,78740,86711,13452,534,8505,78206,12.643835544586182,2.12937593460083,3.3399038314819336,6.484762191772461,0.0069544315338134766,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v2/m/20260324-174114/report-config-2026-03-24-17_41_21.json,hdfs_df-100K,v2,m,20260324-174114,v2+m,0.8634616721451484,0.9002659372181517,0.5089824823018997,0.4810806905868998,0.6386201969288313,100426,86711,254,13732,17,86694,6.180505990982056,2.1397452354431152,3.336223602294922,0.022989511489868164,0.012535810470581055,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""m"", ""c"": 1.0}"
runs/hdfs_df-100K/v2/rf/20260324-174128/report-config-2026-03-24-17_42_56.json,hdfs_df-100K,v2,rf,20260324-174128,v2+rf,0.9211992412882211,0.8193602836732442,0.9330160612177888,0.861198699864363,0.973428439090235,80192,86711,13278,708,7227,79484,86.29889178276062,2.1428873538970947,3.356887102127075,79.79024052619934,0.336850643157959,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v2/svm/20260324-174256/report-config-2026-03-24-17_43_08.json,hdfs_df-100K,v2,svm,20260324-174256,v2+svm,0.9125693913423438,0.806430188997888,0.9390391846596942,0.8514167378415807,0.9686432008859382,78587,86711,13646,340,8464,78247,11.454705476760864,2.1075873374938965,3.3011844158172607,5.3668622970581055,0.0073435306549072266,"{""max_features"": 20000, ""ngram_range"": ""1 2""}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v3/c/20260324-174335/report-config-2026-03-24-17_43_48.json,hdfs_df-100K,v3,c,20260324-174335,v3+c,0.6249739316960783,0.5202989065495789,0.5387440891846331,0.49419374790456777,0.5604837959643002,65189,86711,5865,8121,29643,57068,11.670461177825928,4.549757719039917,6.238719940185547,0.043695926666259766,0.03173518180847168,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""c"", ""c"": 1.0}"
runs/hdfs_df-100K/v3/lr/20260324-174446/report-config-2026-03-24-17_45_03.json,hdfs_df-100K,v3,lr,20260324-174446,v3+lr,0.7959224207275292,0.43741991613944514,0.4667376453568517,0.45042279238752975,0.29652120764551715,93827,86711,153,13833,6717,79994,16.510484218597412,4.577842950820923,6.20589542388916,5.024103403091431,0.0299074649810791,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v3/m/20260324-174322/report-config-2026-03-24-17_43_35.json,hdfs_df-100K,v3,m,20260324-174322,v3+m,0.8611080767053636,0.4305540383526818,0.5,0.4626856911124392,0.5587964830016012,100697,86711,0,13986,0,86711,11.849122285842896,4.578906774520874,6.387305736541748,0.04388880729675293,0.032694101333618164,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""m"", ""c"": 1.0}"
runs/hdfs_df-100K/v3/rf/20260324-174348/report-config-2026-03-24-17_44_27.json,hdfs_df-100K,v3,rf,20260324-174348,v3+rf,0.8601646523729605,0.610024546960897,0.5030502538546501,0.4707442622548907,0.7979240849609085,100362,86711,120,13866,215,86496,37.89029359817505,4.685977220535278,6.366745471954346,26.015749216079712,0.14953994750976562,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v3/svm/20260324-174427/report-config-2026-03-24-17_44_45.json,hdfs_df-100K,v3,svm,20260324-174427,v3+svm,0.8011360815118623,0.4391446033907703,0.4699148617048307,0.4524660767448825,0.2993826390886741,94342,86711,158,13828,6197,80514,17.43973445892334,4.641669511795044,6.306047677993774,5.7895166873931885,0.0290372371673584,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v4/c/20260324-181613/report-config-2026-03-24-18_47_28.json,hdfs_df-100K,v4,c,20260324-181613,v4+c,0.5132824215219918,0.5220058282205395,0.5459716719043679,0.44575680805431683,0.5663172204672129,49134,86711,8269,5717,43294,43417,1868.4609770774841,622.949170589447,1243.615181684494,0.21442461013793945,0.15343379974365234,{},"{""type"": ""c"", ""c"": 1.0}"
runs/hdfs_df-100K/v4/lr/20260324-195358/report-config-2026-03-24-20_25_47.json,hdfs_df-100K,v4,lr,20260324-195358,v4+lr,0.6247951776120441,0.570224290987106,0.643223632362842,0.5352077168015701,0.695421510802489,58195,86711,9353,4633,33149,53562,1902.4846880435944,622.4676284790039,1247.632651567459,31.49840807914734,0.19873332977294922,{},"{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v4/m/20260324-174503/report-config-2026-03-24-18_16_12.json,hdfs_df-100K,v4,m,20260324-174503,v4+m,0.8611080767053636,0.4305540383526818,0.5,0.4626856911124392,0.5663172204672129,100697,86711,0,13986,0,86711,1862.160218000412,617.0554645061493,1243.3849382400513,0.17792701721191406,0.15144634246826172,{},"{""type"": ""m"", ""c"": 1.0}"
runs/hdfs_df-100K/v4/rf/20260324-184730/report-config-2026-03-24-19_20_22.json,hdfs_df-100K,v4,rf,20260324-184730,v4+rf,0.860780360884634,0.5407474044410222,0.5001995015343956,0.46351146545090627,0.6719077729704986,100638,86711,13,13973,46,86665,1965.1144378185272,620.4474446773529,1247.6823463439941,95.4509482383728,0.8529567718505859,{},"{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v4/svm/20260324-192023/report-config-2026-03-24-19_53_56.json,hdfs_df-100K,v4,svm,20260324-192023,v4+svm,0.6268905727082237,0.5742109043224273,0.6516064350364497,0.5391286107794273,0.7050991602201944,57928,86711,9592,4394,33177,53534,2006.9135546684265,617.7207765579224,1235.5315053462982,152.78705978393555,0.18999195098876953,{},"{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v5/c/20260324-202641/report-config-2026-03-24-20_27_35.json,hdfs_df-100K,v5,c,20260324-202641,v5+c,0.43780847492973973,0.5288551967278405,0.5566284177936679,0.4042063078830422,0.548966145874266,37900,86711,10086,3900,52711,34000,52.545082330703735,34.56102156639099,17.098293781280518,0.04528331756591797,0.034765005111694336,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""c"", ""c"": 1.0}"
runs/hdfs_df-100K/v5/lr/20260324-203019/report-config-2026-03-24-20_31_19.json,hdfs_df-100K,v5,lr,20260324-203019,v5+lr,0.5949631071432118,0.5687520515505168,0.6429324965986981,0.5187656323770754,0.6775795329842682,54055,86711,9921,4065,36721,49990,58.72319841384888,34.16417646408081,16.8537700176239,6.998614072799683,0.030626535415649414,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""lr"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v5/m/20260324-202548/report-config-2026-03-24-20_26_41.json,hdfs_df-100K,v5,m,20260324-202548,v5+m,0.8611080767053636,0.4305540383526818,0.5,0.4626856911124392,0.5503798684652326,100697,86711,0,13986,0,86711,51.98792052268982,34.07268190383911,17.028016567230225,0.045874834060668945,0.03618216514587402,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""m"", ""c"": 1.0}"
runs/hdfs_df-100K/v5/rf/20260324-202735/report-config-2026-03-24-20_29_06.json,hdfs_df-100K,v5,rf,20260324-202735,v5+rf,0.8641568269163927,0.7332202044094176,0.5298350426534855,0.5233864854550528,0.776978370268149,99132,86711,936,13050,629,86082,89.94091272354126,35.087292432785034,17.134053707122803,36.72944712638855,0.3184082508087158,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""rf"", ""class_weight"": ""balanced"", ""c"": 1.0}"
runs/hdfs_df-100K/v5/svm/20260324-202907/report-config-2026-03-24-20_30_19.json,hdfs_df-100K,v5,svm,20260324-202907,v5+svm,0.5930266045661737,0.5722744185638835,0.6505633281446039,0.51994223753094,0.6883779634007401,53276,86711,10213,3773,37208,49503,71.38367366790771,34.613786697387695,16.67554545402527,19.39425277709961,0.027220964431762695,"{""vector_size"": 100, ""window"": 5, ""min_count"": 1, ""sg"": 1}","{""type"": ""svm"", ""class_weight"": ""balanced"", ""c"": 1.0}"
